year,city,country,Lagos_avg_temp,global_year,global_avg_temp,,
1873,Lagos,Nigeria,26.46,1873,8.35,,
1874,Lagos,Nigeria,26.08,1874,8.43,,
1875,Lagos,Nigeria,25.82,1875,7.86,,
1876,Lagos,Nigeria,25.82,1876,8.08,,
1877,Lagos,Nigeria,26.35,1877,8.54,,
1878,Lagos,Nigeria,26.26,1878,8.83,,
1879,Lagos,Nigeria,25.67,1879,8.17,,
1880,Lagos,Nigeria,26.14,1880,8.12,,
1881,Lagos,Nigeria,26.39,1881,8.27,,
1882,Lagos,Nigeria,26.01,1882,8.13,,
1883,Lagos,Nigeria,26.42,1883,7.98,,
1884,Lagos,Nigeria,26.43,1884,7.77,26.15416667,8.210833333
1885,Lagos,Nigeria,26.01,1885,7.92,26.11666667,8.175
1886,Lagos,Nigeria,25.87,1886,7.95,26.09916667,8.135
1887,Lagos,Nigeria,25.09,1887,7.91,26.03833333,8.139166667
1888,Lagos,Nigeria,25.42,1888,8.09,26.005,8.14
1889,Lagos,Nigeria,25.34,1889,8.32,25.92083333,8.121666667
1890,Lagos,Nigeria,24.86,1890,7.97,25.80416667,8.05
1891,Lagos,Nigeria,25.29,1891,8.02,25.7725,8.0375
1892,Lagos,Nigeria,25.49,1892,8.07,25.71833333,8.033333333
1893,Lagos,Nigeria,25.67,1893,8.06,25.65833333,8.015833333
1894,Lagos,Nigeria,25.59,1894,8.16,25.62333333,8.018333333
1895,Lagos,Nigeria,25.92,1895,8.15,25.58166667,8.0325
1896,Lagos,Nigeria,25.87,1896,8.21,25.535,8.069166667
1897,Lagos,Nigeria,26.29,1897,8.29,25.55833333,8.1
1898,Lagos,Nigeria,25.79,1898,8.18,25.55166667,8.119166667
1899,Lagos,Nigeria,26.31,1899,8.4,25.65333333,8.16
1900,Lagos,Nigeria,26.42,1900,8.5,25.73666667,8.194166667
1901,Lagos,Nigeria,26.53,1901,8.54,25.83583333,8.2125
1902,Lagos,Nigeria,26.09,1902,8.3,25.93833333,8.24
1903,Lagos,Nigeria,25.68,1903,8.22,25.97083333,8.256666667
1904,Lagos,Nigeria,25.48,1904,8.09,25.97,8.258333333
1905,Lagos,Nigeria,26.16,1905,8.23,26.01083333,8.2725
1906,Lagos,Nigeria,26.21,1906,8.38,26.0625,8.290833333
1907,Lagos,Nigeria,25.96,1907,7.95,26.06583333,8.274166667
1908,Lagos,Nigeria,26.15,1908,8.19,26.08916667,8.2725
1909,Lagos,Nigeria,26.08,1909,8.18,26.07166667,8.263333333
1910,Lagos,Nigeria,26.13,1910,8.22,26.1,8.266666667
1911,Lagos,Nigeria,25.72,1911,8.18,26.05083333,8.248333333
1912,Lagos,Nigeria,26.17,1912,8.17,26.03,8.220833333
1913,Lagos,Nigeria,26.65,1913,8.3,26.04,8.200833333
1914,Lagos,Nigeria,26.75,1914,8.59,26.095,8.225
1915,Lagos,Nigeria,26.81,1915,8.59,26.18916667,8.255833333
1916,Lagos,Nigeria,26.6,1916,8.23,26.2825,8.2675
1917,Lagos,Nigeria,26.96,1917,8.02,26.34916667,8.25
1918,Lagos,Nigeria,26.41,1918,8.13,26.36583333,8.229166667
1919,Lagos,Nigeria,26.7,1919,8.38,26.4275,8.265
1920,Lagos,Nigeria,26.72,1920,8.36,26.475,8.279166667
1921,Lagos,Nigeria,26.77,1921,8.57,26.5325,8.311666667
